Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 70.90      1.68     1.68   500802     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  9.71      1.91     0.23   500001     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  6.75      2.07     0.16 312000624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  5.06      2.19     0.12 311500623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  5.06      2.31     0.12 311500623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  1.27      2.34     0.03        1    30.01    30.01  void std::_Destroy_aux<true>::__destroy<Coffee*>(Coffee*, Coffee*)
  0.63      2.36     0.02 312000624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.63      2.37     0.02        1    15.00    45.01  void std::_Destroy<Coffee*>(Coffee*, Coffee*)
  0.00      2.37     0.00  2000000     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      2.37     0.00  1000000     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      2.37     0.00  1000000     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      2.37     0.00  1000000     0.00     0.00  unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.00      2.37     0.00  1000000     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      2.37     0.00  1000000     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      2.37     0.00   560361     0.00     0.00  std::vector<Coffee, std::allocator<Coffee> >::operator[](unsigned long)
  0.00      2.37     0.00   500001     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.00      2.37     0.00   500001     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      2.37     0.00   500001     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      2.37     0.00   500001     0.00     0.00  std::__is_constant_evaluated()
  0.00      2.37     0.00   500000     0.00     0.00  move(Coffee&, int, int, int)
  0.00      2.37     0.00   270285     0.00     0.00  Coffee::y()
  0.00      2.37     0.00   269715     0.00     0.00  Coffee::x()
  0.00      2.37     0.00   250285     0.00     0.00  Coffee::move_y(bool)
  0.00      2.37     0.00   249715     0.00     0.00  Coffee::move_x(bool)
  0.00      2.37     0.00    47920     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      2.37     0.00    20000     0.00     0.00  Coffee::r()
  0.00      2.37     0.00      404     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.37     0.00      400     0.00     0.00  Coffee::Coffee()
  0.00      2.37     0.00      400     0.00     0.00  void std::_Construct<Coffee>(Coffee*)
  0.00      2.37     0.00      400     0.00     0.00  Coffee* std::__addressof<Coffee>(Coffee&)
  0.00      2.37     0.00      361     0.00     0.00  Coffee::load(int, int)
  0.00      2.37     0.00      300     0.00     0.00  std::allocator<double>::~allocator()
  0.00      2.37     0.00      300     0.00     0.00  std::__new_allocator<double>::~__new_allocator()
  0.00      2.37     0.00      200     0.00     0.00  std::__new_allocator<double>::_M_max_size() const
  0.00      2.37     0.00      200     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      2.37     0.00      200     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      2.37     0.00      200     0.00     0.00  std::__new_allocator<double>::__new_allocator(std::__new_allocator<double> const&)
  0.00      2.37     0.00      107     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.37     0.00      100     0.00     0.00  std::__new_allocator<double>::max_size() const
  0.00      2.37     0.00      100     0.00     0.00  std::allocator<double>::allocator()
  0.00      2.37     0.00      100     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      2.37     0.00      100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      2.37     0.00      100     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      2.37     0.00      100     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      2.37     0.00      100     0.00     0.00  std::__new_allocator<double>::__new_allocator()
  0.00      2.37     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      2.37     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      2.37     0.00      100     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      2.37     0.00      100     0.00     0.00  double* std::__uninitialized_fill_n<true>::__uninit_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      2.37     0.00      100     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      2.37     0.00      100     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00      2.37     0.00      100     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_initialize(unsigned long, double const&)
